ISO;Pais;Ano;Forca_Trabalho;PIB_pc_USD
ARG;Argentina;2000;16658086,0;7637,01489203628
ARG;Argentina;2001;16713495,0;7141,47507662826
ARG;Argentina;2002;16535085,0;2569,69963519124
ARG;Argentina;2003;17011226,0;3320,47775133903
ARG;Argentina;2004;17502349,0;4242,02099089422
ARG;Argentina;2005;17624307,0;5067,65342293276
ARG;Argentina;2006;17955872,0;5869,38028970204
ARG;Argentina;2007;18001087,0;7185,25155147027
ARG;Argentina;2008;18041663,0;8944,1102657357
ARG;Argentina;2009;18399678,0;8150,23527028221
ARG;Argentina;2010;18468692,0;10260,1313108254
ARG;Argentina;2011;18857586,0;12704,2831819684
ARG;Argentina;2012;19006986,0;12949,717486654
ARG;Argentina;2013;19111596,0;12963,675773326
ARG;Argentina;2014;19177885,0;12233,1444119186
ARG;Argentina;2015;19343227,0;13679,6264980954
ARG;Argentina;2016;19497873,0;12699,9623137756
ARG;Argentina;2017;19643677,0;14532,5009308511
ARG;Argentina;2018;20125838,0;11752,7998922979
ARG;Argentina;2019;20580300,0;9955,97478680428
ARG;Argentina;2020;19317784,0;8535,59938004389
ARG;Argentina;2021;20993886,0;10738,0179223384
ARG;Argentina;2022;21566906,0;13962,1894087223
BEL;Belgium;2000;4412646,0;23098,8865077401
BEL;Belgium;2001;4307825,0;23015,0712632462
BEL;Belgium;2002;4358408,0;25006,191397109
BEL;Belgium;2003;4395670,0;30655,2092679024
BEL;Belgium;2004;4480433,0;35429,4077933344
BEL;Belgium;2005;4627612,0;36809,7013403619
BEL;Belgium;2006;4647632,0;38705,1067959147
BEL;Belgium;2007;4735412,0;44319,165448813
BEL;Belgium;2008;4779497,0;48303,397956286
BEL;Belgium;2009;4801697,0;44923,3400135081
BEL;Belgium;2010;4901576,0;44197,393671162
BEL;Belgium;2011;4884172,0;47760,8298776546
BEL;Belgium;2012;4917260,0;44874,1709182123
BEL;Belgium;2013;4966858,0;46964,5946777056
BEL;Belgium;2014;4984459,0;47995,7786961339
BEL;Belgium;2015;4994454,0;40893,804537772
BEL;Belgium;2016;5001167,0;41854,5498296444
BEL;Belgium;2017;5037325,0;44035,3239358548
BEL;Belgium;2018;5093485,0;47487,2100392561
BEL;Belgium;2019;5146209,0;46716,6227467964
BEL;Belgium;2020;5124712,0;45906,2875805246
BEL;Belgium;2021;5217415,0;51658,238294958
BEL;Belgium;2022;5320892,0;50605,7496677086
BRA;Brazil;2000;80295093,0;3766,54786339835
BRA;Brazil;2001;82302317,0;3176,28975052524
BRA;Brazil;2002;85201661,0;2855,94017137049
BRA;Brazil;2003;86792831,0;3090,6068907839
BRA;Brazil;2004;89058034,0;3663,82262497811
BRA;Brazil;2005;91599988,0;4827,78165890291
BRA;Brazil;2006;92726865,0;5934,14561857454
BRA;Brazil;2007;93712199,0;7409,69003822861
BRA;Brazil;2008;95054971,0;8908,33338467948
BRA;Brazil;2009;96857149,0;8678,6584730653
BRA;Brazil;2010;96467543,0;11403,2840038694
BRA;Brazil;2011;95987652,0;13396,6263158041
BRA;Brazil;2012;96690220,0;12521,7238454434
BRA;Brazil;2013;97945820,0;12458,8903396625
BRA;Brazil;2014;98900006,0;12274,9941630213
BRA;Brazil;2015;100587656,0;8936,1955889444
BRA;Brazil;2016;101885554,0;8836,28546025694
BRA;Brazil;2017;103476109,0;10080,5078722821
BRA;Brazil;2018;104554923,0;9300,66072904004
BRA;Brazil;2019;106262669,0;9029,83304401079
BRA;Brazil;2020;100001874,0;7074,19407495707
BRA;Brazil;2021;104085430,0;7972,53696080695
BRA;Brazil;2022;106610573,0;9281,33282136864
CAN;Canada;2000;16186923,0;24271,0020563821
CAN;Canada;2001;16454900,0;23822,096210932
CAN;Canada;2002;16941931,0;24256,0192337185
CAN;Canada;2003;17341662,0;28301,8645937428
CAN;Canada;2004;17554856,0;32145,5412620217
